Rank,Player,Team,Position,Year
58,Ian Happ,CHC,LF,2008
59,Bryce Harper,PHI,DH,2008
60,Paul Goldschmidt,STL,1B,2008
61,Chris Bassitt,TOR,SP,2008
62,Gunnar Henderson,BAL,3B,2008
63,Jordan Montgomery,TEX,SP,2008
64,Framber Valdez,HOU,SP,2008
65,Aaron Judge,NYY,RF,2008
66,Brandon Nimmo,NYM,CF,2008
66,Michael Wacha,SD,SP,2008
66,Isaac Paredes,TB,3B,2008
69,Justin Verlander,HOU,SP,2008
70,Josh Hader,SD,RP,2008
71,Spencer Torkelson,DET,1B,2008
72,Anthony Santander,BAL,RF,2008
73,Vladimir Guerrero Jr.,TOR,1B,2008
74,Xander Bogaerts,SD,SS,2008
75,David Bednar,PIT,RP,2008
76,Tanner Bibee,CLE,SP,2008
77,Spencer Steer,CIN,1B,2008
78,Justin Turner,BOS,DH,2008
79,Pablo Lopez,MIN,SP,2008
80,Shohei Ohtani,LAA,DH,2008
81,Evan Phillips,LAD,RP,2008
82,Eduardo Rodriguez,DET,SP,2008
83,Alexis Diaz,CIN,RP,2008
84,Gleyber Torres,NYY,2B,2008
85,Jose Altuve,HOU,2B,2008
86,Luis Robert Jr.,CHW,CF,2008
87,Logan Gilbert,SEA,SP,2008
88,Bo Bichette,TOR,SS,2008
89,Seiya Suzuki,CHC,RF,2008
90,Fernando Tatis Jr.,SD,RF,2008
91,Shane McClanahan,TB,SP,2008
92,Steven Kwan,CLE,LF,2008
93,Teoscar Hernandez,SEA,RF,2008
94,Eugenio Suarez,SEA,3B,2008
95,Will Smith,LAD,C,2008
96,Jesus Luzardo,MIA,SP,2008
97,Jorge Soler,MIA,DH,2008
98,Alec Bohm,PHI,1B,2008
98,Bryce Elder,ATL,SP,2008
100,Camilo Doval,SF,RP,2008
1,Ronald Acuna Jr.,ATL,RF,2009
2,Mookie Betts,LAD,RF,2009
3,Freddie Freeman,LAD,1B,2009
4,Matt Olson,ATL,1B,2009
5,Kyle Tucker,HOU,RF,2009
6,Gerrit Cole,NYY,SP,2009
7,Juan Soto,SD,LF,2009
8,Austin Riley,ATL,3B,2009
9,Corey Seager,TEX,SS,2009
10,Marcus Semien,TEX,2B,2009
11,Blake Snell,SD,SP,2009
12,Julio Rodriguez,SEA,CF,2009
13,Yandy Diaz,TB,1B,2009
13,Ozzie Albies,ATL,2B,2009
15,Corbin Carroll,ARI,LF,2009
16,Alex Bregman,HOU,3B,2009
17,Kyle Schwarber,PHI,LF,2009
18,Zac Gallen,ARI,SP,2009
19,Francisco Lindor,NYM,SS,2009
20,Bobby Witt Jr.,KC,SS,2009
21,Adolis Garcia,TEX,RF,2009
22,Justin Steele,CHC,SP,2009
23,Rafael Devers,BOS,3B,2009
24,Christian Yelich,MIL,LF,2009
25,Yordan Alvarez,HOU,LF,2009
26,Luis Castillo,SEA,SP,2009
27,Pete Alonso,NYM,1B,2009
28,Cody Bellinger,CHC,CF,2009
29,Kyle Bradish,BAL,SP,2009
30,Adley Rutschman,BAL,C,2009
31,Clayton Kershaw,LAD,SP,2009
32,Jose Ramirez,CLE,3B,2009
33,William Contreras,MIL,C,2009
34,Kodai Senga,NYM,SP,2009
35,Max Muncy,LAD,3B,2009
36,Kevin Gausman,TOR,SP,2009
37,Logan Webb,SF,SP,2009
38,Devin Williams,MIL,RP,2009
39,Trea Turner,PHI,SS,2009
40,Zack Wheeler,PHI,SP,2009
41,Luis Arraez,MIA,2B,2009
42,Marcell Ozuna,ATL,DH,2009
42,Nico Hoerner,CHC,2B,2009
44,Ketel Marte,ARI,2B,2009
45,Nathaniel Lowe,TEX,1B,2009
46,Sonny Gray,MIN,SP,2009
47,Christian Walker,ARI,1B,2009
48,Spencer Strider,ATL,SP,2009
49,Zach Eflin,TB,SP,2009
50,Felix Bautista,BAL,RP,2009
51,Corbin Burnes,MIL,SP,2009
52,Randy Arozarena,TB,LF,2009
53,Nick Castellanos,PHI,RF,2009
54,George Kirby,SEA,SP,2009
55,Merrill Kelly,ARI,SP,2009
56,Lane Thomas,WSH,RF,2009
57,J.P. Crawford,SEA,SS,2009
58,Ian Happ,CHC,LF,2009
59,Bryce Harper,PHI,DH,2009
60,Paul Goldschmidt,STL,1B,2009
61,Chris Bassitt,TOR,SP,2009
62,Gunnar Henderson,BAL,3B,2009
63,Jordan Montgomery,TEX,SP,2009
64,Framber Valdez,HOU,SP,2009
65,Aaron Judge,NYY,RF,2009
66,Brandon Nimmo,NYM,CF,2009
66,Michael Wacha,SD,SP,2009
66,Isaac Paredes,TB,3B,2009
69,Justin Verlander,HOU,SP,2009
70,Josh Hader,SD,RP,2009
71,Spencer Torkelson,DET,1B,2009
72,Anthony Santander,BAL,RF,2009
73,Vladimir Guerrero Jr.,TOR,1B,2009
74,Xander Bogaerts,SD,SS,2009
75,David Bednar,PIT,RP,2009
76,Tanner Bibee,CLE,SP,2009
77,Spencer Steer,CIN,1B,2009
78,Justin Turner,BOS,DH,2009
79,Pablo Lopez,MIN,SP,2009
80,Shohei Ohtani,LAA,DH,2009
81,Evan Phillips,LAD,RP,2009
82,Eduardo Rodriguez,DET,SP,2009
83,Alexis Diaz,CIN,RP,2009
84,Gleyber Torres,NYY,2B,2009
85,Jose Altuve,HOU,2B,2009
86,Luis Robert Jr.,CHW,CF,2009
87,Logan Gilbert,SEA,SP,2009
88,Bo Bichette,TOR,SS,2009
89,Seiya Suzuki,CHC,RF,2009
90,Fernando Tatis Jr.,SD,RF,2009
91,Shane McClanahan,TB,SP,2009
92,Steven Kwan,CLE,LF,2009
93,Teoscar Hernandez,SEA,RF,2009
94,Eugenio Suarez,SEA,3B,2009
95,Will Smith,LAD,C,2009
96,Jesus Luzardo,MIA,SP,2009
97,Jorge Soler,MIA,DH,2009
98,Alec Bohm,PHI,1B,2009
98,Bryce Elder,ATL,SP,2009
100,Camilo Doval,SF,RP,2009
1,Ronald Acuna Jr.,ATL,RF,2010
2,Mookie Betts,LAD,RF,2010
3,Freddie Freeman,LAD,1B,2010
4,Matt Olson,ATL,1B,2010
5,Kyle Tucker,HOU,RF,2010
6,Gerrit Cole,NYY,SP,2010
7,Juan Soto,SD,LF,2010
8,Austin Riley,ATL,3B,2010
9,Corey Seager,TEX,SS,2010
10,Marcus Semien,TEX,2B,2010
11,Blake Snell,SD,SP,2010
12,Julio Rodriguez,SEA,CF,2010
13,Yandy Diaz,TB,1B,2010
13,Ozzie Albies,ATL,2B,2010
15,Corbin Carroll,ARI,LF,2010
16,Alex Bregman,HOU,3B,2010
17,Kyle Schwarber,PHI,LF,2010
18,Zac Gallen,ARI,SP,2010
19,Francisco Lindor,NYM,SS,2010
20,Bobby Witt Jr.,KC,SS,2010
21,Adolis Garcia,TEX,RF,2010
22,Justin Steele,CHC,SP,2010
23,Rafael Devers,BOS,3B,2010
24,Christian Yelich,MIL,LF,2010
25,Yordan Alvarez,HOU,LF,2010
26,Luis Castillo,SEA,SP,2010
27,Pete Alonso,NYM,1B,2010
28,Cody Bellinger,CHC,CF,2010
29,Kyle Bradish,BAL,SP,2010
30,Adley Rutschman,BAL,C,2010
31,Clayton Kershaw,LAD,SP,2010
32,Jose Ramirez,CLE,3B,2010
33,William Contreras,MIL,C,2010
34,Kodai Senga,NYM,SP,2010
35,Max Muncy,LAD,3B,2010
36,Kevin Gausman,TOR,SP,2010
37,Logan Webb,SF,SP,2010
38,Devin Williams,MIL,RP,2010
39,Trea Turner,PHI,SS,2010
40,Zack Wheeler,PHI,SP,2010
41,Luis Arraez,MIA,2B,2010
42,Marcell Ozuna,ATL,DH,2010
42,Nico Hoerner,CHC,2B,2010
44,Ketel Marte,ARI,2B,2010
45,Nathaniel Lowe,TEX,1B,2010
46,Sonny Gray,MIN,SP,2010
47,Christian Walker,ARI,1B,2010
48,Spencer Strider,ATL,SP,2010
49,Zach Eflin,TB,SP,2010
50,Felix Bautista,BAL,RP,2010
51,Corbin Burnes,MIL,SP,2010
52,Randy Arozarena,TB,LF,2010
53,Nick Castellanos,PHI,RF,2010
54,George Kirby,SEA,SP,2010
55,Merrill Kelly,ARI,SP,2010
56,Lane Thomas,WSH,RF,2010
57,J.P. Crawford,SEA,SS,2010
58,Ian Happ,CHC,LF,2010
59,Bryce Harper,PHI,DH,2010
60,Paul Goldschmidt,STL,1B,2010
61,Chris Bassitt,TOR,SP,2010
62,Gunnar Henderson,BAL,3B,2010
63,Jordan Montgomery,TEX,SP,2010
64,Framber Valdez,HOU,SP,2010
65,Aaron Judge,NYY,RF,2010
66,Brandon Nimmo,NYM,CF,2010
66,Michael Wacha,SD,SP,2010
66,Isaac Paredes,TB,3B,2010
69,Justin Verlander,HOU,SP,2010
70,Josh Hader,SD,RP,2010
71,Spencer Torkelson,DET,1B,2010
72,Anthony Santander,BAL,RF,2010
73,Vladimir Guerrero Jr.,TOR,1B,2010
74,Xander Bogaerts,SD,SS,2010
75,David Bednar,PIT,RP,2010
76,Tanner Bibee,CLE,SP,2010
77,Spencer Steer,CIN,1B,2010
78,Justin Turner,BOS,DH,2010
79,Pablo Lopez,MIN,SP,2010
80,Shohei Ohtani,LAA,DH,2010
81,Evan Phillips,LAD,RP,2010
82,Eduardo Rodriguez,DET,SP,2010
83,Alexis Diaz,CIN,RP,2010
84,Gleyber Torres,NYY,2B,2010
85,Jose Altuve,HOU,2B,2010
86,Luis Robert Jr.,CHW,CF,2010
87,Logan Gilbert,SEA,SP,2010
88,Bo Bichette,TOR,SS,2010
89,Seiya Suzuki,CHC,RF,2010
90,Fernando Tatis Jr.,SD,RF,2010
91,Shane McClanahan,TB,SP,2010
92,Steven Kwan,CLE,LF,2010
93,Teoscar Hernandez,SEA,RF,2010
94,Eugenio Suarez,SEA,3B,2010
95,Will Smith,LAD,C,2010
96,Jesus Luzardo,MIA,SP,2010
97,Jorge Soler,MIA,DH,2010
98,Alec Bohm,PHI,1B,2010
98,Bryce Elder,ATL,SP,2010
100,Camilo Doval,SF,RP,2010
1,Ronald Acuna Jr.,ATL,RF,2011
2,Mookie Betts,LAD,RF,2011
3,Freddie Freeman,LAD,1B,2011
4,Matt Olson,ATL,1B,2011
5,Kyle Tucker,HOU,RF,2011
6,Gerrit Cole,NYY,SP,2011
7,Juan Soto,SD,LF,2011
8,Austin Riley,ATL,3B,2011
9,Corey Seager,TEX,SS,2011
10,Marcus Semien,TEX,2B,2011
11,Blake Snell,SD,SP,2011
12,Julio Rodriguez,SEA,CF,2011
13,Yandy Diaz,TB,1B,2011
13,Ozzie Albies,ATL,2B,2011
15,Corbin Carroll,ARI,LF,2011
16,Alex Bregman,HOU,3B,2011
17,Kyle Schwarber,PHI,LF,2011
18,Zac Gallen,ARI,SP,2011
19,Francisco Lindor,NYM,SS,2011
20,Bobby Witt Jr.,KC,SS,2011
21,Adolis Garcia,TEX,RF,2011
22,Justin Steele,CHC,SP,2011
23,Rafael Devers,BOS,3B,2011
24,Christian Yelich,MIL,LF,2011
25,Yordan Alvarez,HOU,LF,2011
26,Luis Castillo,SEA,SP,2011
27,Pete Alonso,NYM,1B,2011
28,Cody Bellinger,CHC,CF,2011
29,Kyle Bradish,BAL,SP,2011
30,Adley Rutschman,BAL,C,2011
31,Clayton Kershaw,LAD,SP,2011
32,Jose Ramirez,CLE,3B,2011
33,William Contreras,MIL,C,2011
34,Kodai Senga,NYM,SP,2011
35,Max Muncy,LAD,3B,2011
36,Kevin Gausman,TOR,SP,2011
37,Logan Webb,SF,SP,2011
38,Devin Williams,MIL,RP,2011
39,Trea Turner,PHI,SS,2011
40,Zack Wheeler,PHI,SP,2011
41,Luis Arraez,MIA,2B,2011
42,Marcell Ozuna,ATL,DH,2011
42,Nico Hoerner,CHC,2B,2011
44,Ketel Marte,ARI,2B,2011
45,Nathaniel Lowe,TEX,1B,2011
46,Sonny Gray,MIN,SP,2011
47,Christian Walker,ARI,1B,2011
48,Spencer Strider,ATL,SP,2011
49,Zach Eflin,TB,SP,2011
50,Felix Bautista,BAL,RP,2011
51,Corbin Burnes,MIL,SP,2011
52,Randy Arozarena,TB,LF,2011
53,Nick Castellanos,PHI,RF,2011
54,George Kirby,SEA,SP,2011
55,Merrill Kelly,ARI,SP,2011
56,Lane Thomas,WSH,RF,2011
57,J.P. Crawford,SEA,SS,2011
58,Ian Happ,CHC,LF,2011
59,Bryce Harper,PHI,DH,2011
60,Paul Goldschmidt,STL,1B,2011
61,Chris Bassitt,TOR,SP,2011
62,Gunnar Henderson,BAL,3B,2011
63,Jordan Montgomery,TEX,SP,2011
64,Framber Valdez,HOU,SP,2011
65,Aaron Judge,NYY,RF,2011
66,Brandon Nimmo,NYM,CF,2011
66,Michael Wacha,SD,SP,2011
66,Isaac Paredes,TB,3B,2011
69,Justin Verlander,HOU,SP,2011
70,Josh Hader,SD,RP,2011
71,Spencer Torkelson,DET,1B,2011
72,Anthony Santander,BAL,RF,2011
73,Vladimir Guerrero Jr.,TOR,1B,2011
74,Xander Bogaerts,SD,SS,2011
75,David Bednar,PIT,RP,2011
76,Tanner Bibee,CLE,SP,2011
77,Spencer Steer,CIN,1B,2011
78,Justin Turner,BOS,DH,2011
79,Pablo Lopez,MIN,SP,2011
80,Shohei Ohtani,LAA,DH,2011
81,Evan Phillips,LAD,RP,2011
82,Eduardo Rodriguez,DET,SP,2011
83,Alexis Diaz,CIN,RP,2011
84,Gleyber Torres,NYY,2B,2011
85,Jose Altuve,HOU,2B,2011
86,Luis Robert Jr.,CHW,CF,2011
87,Logan Gilbert,SEA,SP,2011
88,Bo Bichette,TOR,SS,2011
89,Seiya Suzuki,CHC,RF,2011
90,Fernando Tatis Jr.,SD,RF,2011
91,Shane McClanahan,TB,SP,2011
92,Steven Kwan,CLE,LF,2011
93,Teoscar Hernandez,SEA,RF,2011
94,Eugenio Suarez,SEA,3B,2011
95,Will Smith,LAD,C,2011
96,Jesus Luzardo,MIA,SP,2011
97,Jorge Soler,MIA,DH,2011
98,Alec Bohm,PHI,1B,2011
98,Bryce Elder,ATL,SP,2011
100,Camilo Doval,SF,RP,2011
1,Ronald Acuna Jr.,ATL,RF,2012
2,Mookie Betts,LAD,RF,2012
3,Freddie Freeman,LAD,1B,2012
4,Matt Olson,ATL,1B,2012
5,Kyle Tucker,HOU,RF,2012
6,Gerrit Cole,NYY,SP,2012
7,Juan Soto,SD,LF,2012
8,Austin Riley,ATL,3B,2012
9,Corey Seager,TEX,SS,2012
10,Marcus Semien,TEX,2B,2012
11,Blake Snell,SD,SP,2012
12,Julio Rodriguez,SEA,CF,2012
13,Yandy Diaz,TB,1B,2012
13,Ozzie Albies,ATL,2B,2012
15,Corbin Carroll,ARI,LF,2012
16,Alex Bregman,HOU,3B,2012
17,Kyle Schwarber,PHI,LF,2012
18,Zac Gallen,ARI,SP,2012
19,Francisco Lindor,NYM,SS,2012
20,Bobby Witt Jr.,KC,SS,2012
21,Adolis Garcia,TEX,RF,2012
22,Justin Steele,CHC,SP,2012
23,Rafael Devers,BOS,3B,2012
24,Christian Yelich,MIL,LF,2012
25,Yordan Alvarez,HOU,LF,2012
26,Luis Castillo,SEA,SP,2012
27,Pete Alonso,NYM,1B,2012
28,Cody Bellinger,CHC,CF,2012
29,Kyle Bradish,BAL,SP,2012
30,Adley Rutschman,BAL,C,2012
31,Clayton Kershaw,LAD,SP,2012
32,Jose Ramirez,CLE,3B,2012
33,William Contreras,MIL,C,2012
34,Kodai Senga,NYM,SP,2012
35,Max Muncy,LAD,3B,2012
36,Kevin Gausman,TOR,SP,2012
37,Logan Webb,SF,SP,2012
38,Devin Williams,MIL,RP,2012
39,Trea Turner,PHI,SS,2012
40,Zack Wheeler,PHI,SP,2012
41,Luis Arraez,MIA,2B,2012
42,Marcell Ozuna,ATL,DH,2012
42,Nico Hoerner,CHC,2B,2012
44,Ketel Marte,ARI,2B,2012
45,Nathaniel Lowe,TEX,1B,2012
46,Sonny Gray,MIN,SP,2012
47,Christian Walker,ARI,1B,2012
48,Spencer Strider,ATL,SP,2012
49,Zach Eflin,TB,SP,2012
50,Felix Bautista,BAL,RP,2012
51,Corbin Burnes,MIL,SP,2012
52,Randy Arozarena,TB,LF,2012
53,Nick Castellanos,PHI,RF,2012
54,George Kirby,SEA,SP,2012
55,Merrill Kelly,ARI,SP,2012
56,Lane Thomas,WSH,RF,2012
57,J.P. Crawford,SEA,SS,2012
58,Ian Happ,CHC,LF,2012
59,Bryce Harper,PHI,DH,2012
60,Paul Goldschmidt,STL,1B,2012
61,Chris Bassitt,TOR,SP,2012
62,Gunnar Henderson,BAL,3B,2012
63,Jordan Montgomery,TEX,SP,2012
64,Framber Valdez,HOU,SP,2012
65,Aaron Judge,NYY,RF,2012
66,Brandon Nimmo,NYM,CF,2012
66,Michael Wacha,SD,SP,2012
66,Isaac Paredes,TB,3B,2012
69,Justin Verlander,HOU,SP,2012
70,Josh Hader,SD,RP,2012
71,Spencer Torkelson,DET,1B,2012
72,Anthony Santander,BAL,RF,2012
73,Vladimir Guerrero Jr.,TOR,1B,2012
74,Xander Bogaerts,SD,SS,2012
75,David Bednar,PIT,RP,2012
76,Tanner Bibee,CLE,SP,2012
77,Spencer Steer,CIN,1B,2012
78,Justin Turner,BOS,DH,2012
79,Pablo Lopez,MIN,SP,2012
80,Shohei Ohtani,LAA,DH,2012
81,Evan Phillips,LAD,RP,2012
82,Eduardo Rodriguez,DET,SP,2012
83,Alexis Diaz,CIN,RP,2012
84,Gleyber Torres,NYY,2B,2012
85,Jose Altuve,HOU,2B,2012
86,Luis Robert Jr.,CHW,CF,2012
87,Logan Gilbert,SEA,SP,2012
88,Bo Bichette,TOR,SS,2012
89,Seiya Suzuki,CHC,RF,2012
90,Fernando Tatis Jr.,SD,RF,2012
91,Shane McClanahan,TB,SP,2012
92,Steven Kwan,CLE,LF,2012
93,Teoscar Hernandez,SEA,RF,2012
94,Eugenio Suarez,SEA,3B,2012
95,Will Smith,LAD,C,2012
96,Jesus Luzardo,MIA,SP,2012
97,Jorge Soler,MIA,DH,2012
98,Alec Bohm,PHI,1B,2012
98,Bryce Elder,ATL,SP,2012
100,Camilo Doval,SF,RP,2012
1,Ronald Acuna Jr.,ATL,RF,2013
2,Mookie Betts,LAD,RF,2013
3,Freddie Freeman,LAD,1B,2013
4,Matt Olson,ATL,1B,2013
5,Kyle Tucker,HOU,RF,2013
6,Gerrit Cole,NYY,SP,2013
7,Juan Soto,SD,LF,2013
8,Austin Riley,ATL,3B,2013
9,Corey Seager,TEX,SS,2013
10,Marcus Semien,TEX,2B,2013
11,Blake Snell,SD,SP,2013
12,Julio Rodriguez,SEA,CF,2013
13,Yandy Diaz,TB,1B,2013
13,Ozzie Albies,ATL,2B,2013
15,Corbin Carroll,ARI,LF,2013
16,Alex Bregman,HOU,3B,2013
17,Kyle Schwarber,PHI,LF,2013
18,Zac Gallen,ARI,SP,2013
19,Francisco Lindor,NYM,SS,2013
20,Bobby Witt Jr.,KC,SS,2013
21,Adolis Garcia,TEX,RF,2013
22,Justin Steele,CHC,SP,2013
23,Rafael Devers,BOS,3B,2013
24,Christian Yelich,MIL,LF,2013
25,Yordan Alvarez,HOU,LF,2013
26,Luis Castillo,SEA,SP,2013
27,Pete Alonso,NYM,1B,2013
28,Cody Bellinger,CHC,CF,2013
29,Kyle Bradish,BAL,SP,2013
30,Adley Rutschman,BAL,C,2013
31,Clayton Kershaw,LAD,SP,2013
32,Jose Ramirez,CLE,3B,2013
33,William Contreras,MIL,C,2013
34,Kodai Senga,NYM,SP,2013
35,Max Muncy,LAD,3B,2013
36,Kevin Gausman,TOR,SP,2013
37,Logan Webb,SF,SP,2013
38,Devin Williams,MIL,RP,2013
39,Trea Turner,PHI,SS,2013
40,Zack Wheeler,PHI,SP,2013
41,Luis Arraez,MIA,2B,2013
42,Marcell Ozuna,ATL,DH,2013
42,Nico Hoerner,CHC,2B,2013
44,Ketel Marte,ARI,2B,2013
45,Nathaniel Lowe,TEX,1B,2013
46,Sonny Gray,MIN,SP,2013
47,Christian Walker,ARI,1B,2013
48,Spencer Strider,ATL,SP,2013
49,Zach Eflin,TB,SP,2013
50,Felix Bautista,BAL,RP,2013
51,Corbin Burnes,MIL,SP,2013
52,Randy Arozarena,TB,LF,2013
53,Nick Castellanos,PHI,RF,2013
54,George Kirby,SEA,SP,2013
55,Merrill Kelly,ARI,SP,2013
56,Lane Thomas,WSH,RF,2013
57,J.P. Crawford,SEA,SS,2013
58,Ian Happ,CHC,LF,2013
59,Bryce Harper,PHI,DH,2013
60,Paul Goldschmidt,STL,1B,2013
61,Chris Bassitt,TOR,SP,2013
62,Gunnar Henderson,BAL,3B,2013
63,Jordan Montgomery,TEX,SP,2013
64,Framber Valdez,HOU,SP,2013
65,Aaron Judge,NYY,RF,2013
66,Brandon Nimmo,NYM,CF,2013
66,Michael Wacha,SD,SP,2013
66,Isaac Paredes,TB,3B,2013
69,Justin Verlander,HOU,SP,2013
70,Josh Hader,SD,RP,2013
71,Spencer Torkelson,DET,1B,2013
72,Anthony Santander,BAL,RF,2013
73,Vladimir Guerrero Jr.,TOR,1B,2013
74,Xander Bogaerts,SD,SS,2013
75,David Bednar,PIT,RP,2013
76,Tanner Bibee,CLE,SP,2013
77,Spencer Steer,CIN,1B,2013
78,Justin Turner,BOS,DH,2013
79,Pablo Lopez,MIN,SP,2013
80,Shohei Ohtani,LAA,DH,2013
81,Evan Phillips,LAD,RP,2013
82,Eduardo Rodriguez,DET,SP,2013
83,Alexis Diaz,CIN,RP,2013
84,Gleyber Torres,NYY,2B,2013
85,Jose Altuve,HOU,2B,2013
86,Luis Robert Jr.,CHW,CF,2013
87,Logan Gilbert,SEA,SP,2013
88,Bo Bichette,TOR,SS,2013
89,Seiya Suzuki,CHC,RF,2013
90,Fernando Tatis Jr.,SD,RF,2013
91,Shane McClanahan,TB,SP,2013
92,Steven Kwan,CLE,LF,2013
93,Teoscar Hernandez,SEA,RF,2013
94,Eugenio Suarez,SEA,3B,2013
95,Will Smith,LAD,C,2013
96,Jesus Luzardo,MIA,SP,2013
97,Jorge Soler,MIA,DH,2013
98,Alec Bohm,PHI,1B,2013
98,Bryce Elder,ATL,SP,2013
100,Camilo Doval,SF,RP,2013
1,Ronald Acuna Jr.,ATL,RF,2014
2,Mookie Betts,LAD,RF,2014
3,Freddie Freeman,LAD,1B,2014
4,Matt Olson,ATL,1B,2014
5,Kyle Tucker,HOU,RF,2014
6,Gerrit Cole,NYY,SP,2014
7,Juan Soto,SD,LF,2014
8,Austin Riley,ATL,3B,2014
9,Corey Seager,TEX,SS,2014
10,Marcus Semien,TEX,2B,2014
11,Blake Snell,SD,SP,2014
12,Julio Rodriguez,SEA,CF,2014
13,Yandy Diaz,TB,1B,2014
13,Ozzie Albies,ATL,2B,2014
15,Corbin Carroll,ARI,LF,2014
16,Alex Bregman,HOU,3B,2014
17,Kyle Schwarber,PHI,LF,2014
18,Zac Gallen,ARI,SP,2014
19,Francisco Lindor,NYM,SS,2014
20,Bobby Witt Jr.,KC,SS,2014
21,Adolis Garcia,TEX,RF,2014
22,Justin Steele,CHC,SP,2014
23,Rafael Devers,BOS,3B,2014
24,Christian Yelich,MIL,LF,2014
25,Yordan Alvarez,HOU,LF,2014
26,Luis Castillo,SEA,SP,2014
27,Pete Alonso,NYM,1B,2014
28,Cody Bellinger,CHC,CF,2014
29,Kyle Bradish,BAL,SP,2014
30,Adley Rutschman,BAL,C,2014
31,Clayton Kershaw,LAD,SP,2014
32,Jose Ramirez,CLE,3B,2014
33,William Contreras,MIL,C,2014
34,Kodai Senga,NYM,SP,2014
35,Max Muncy,LAD,3B,2014
36,Kevin Gausman,TOR,SP,2014
37,Logan Webb,SF,SP,2014
38,Devin Williams,MIL,RP,2014
39,Trea Turner,PHI,SS,2014
40,Zack Wheeler,PHI,SP,2014
41,Luis Arraez,MIA,2B,2014
42,Marcell Ozuna,ATL,DH,2014
42,Nico Hoerner,CHC,2B,2014
44,Ketel Marte,ARI,2B,2014
45,Nathaniel Lowe,TEX,1B,2014
46,Sonny Gray,MIN,SP,2014
47,Christian Walker,ARI,1B,2014
48,Spencer Strider,ATL,SP,2014
49,Zach Eflin,TB,SP,2014
50,Felix Bautista,BAL,RP,2014
51,Corbin Burnes,MIL,SP,2014
52,Randy Arozarena,TB,LF,2014
53,Nick Castellanos,PHI,RF,2014
54,George Kirby,SEA,SP,2014
55,Merrill Kelly,ARI,SP,2014
56,Lane Thomas,WSH,RF,2014
57,J.P. Crawford,SEA,SS,2014
58,Ian Happ,CHC,LF,2014
59,Bryce Harper,PHI,DH,2014
60,Paul Goldschmidt,STL,1B,2014
61,Chris Bassitt,TOR,SP,2014
62,Gunnar Henderson,BAL,3B,2014
63,Jordan Montgomery,TEX,SP,2014
64,Framber Valdez,HOU,SP,2014
65,Aaron Judge,NYY,RF,2014
66,Brandon Nimmo,NYM,CF,2014
66,Michael Wacha,SD,SP,2014
66,Isaac Paredes,TB,3B,2014
69,Justin Verlander,HOU,SP,2014
70,Josh Hader,SD,RP,2014
71,Spencer Torkelson,DET,1B,2014
72,Anthony Santander,BAL,RF,2014
73,Vladimir Guerrero Jr.,TOR,1B,2014
74,Xander Bogaerts,SD,SS,2014
75,David Bednar,PIT,RP,2014
76,Tanner Bibee,CLE,SP,2014
77,Spencer Steer,CIN,1B,2014
78,Justin Turner,BOS,DH,2014
79,Pablo Lopez,MIN,SP,2014
80,Shohei Ohtani,LAA,DH,2014
81,Evan Phillips,LAD,RP,2014
