"Player","Team","Year","Rk","Pos","Age.x","G.x","PA","AB","R","H","X2B.x","X3B.x","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","source.x","Age.y","X","B","T","Ht","Wt","DoB","Yrs","G.y","GS","Batting","Defense","P","C","X1B","X2B.y","X3B.y","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1","source.y"
"a j pierzynski","CHW",2007,1,"C",30,136,509,472,54,124,24,0,14,50,1,1,25,66,0.263,0.309,0.403,0.712,83,190,21,8,1,3,5,"data1",30,"us US","L","R","6' 3""",250,"Dec 30, 1976","10",136,116,136,130,0,130,0,0,0,0,0,0,0,0,0,18,0,1.3,"$5,500,000","","data2"
"a j pierzynski","MIN",2003,1,"C",26,137,533,487,63,152,35,3,11,74,3,1,24,55,0.312,0.36,0.464,0.824,115,226,13,15,2,5,12,"data1",26,"us US","L","R","6' 3""",250,"Dec 30, 1976","6",137,131,137,135,0,135,0,0,0,0,0,0,0,0,0,6,0,4.5,"$365,000","","data2"
"a j pierzynski","SFG",2004,1,"C",27,131,510,471,45,128,28,2,11,77,0,1,19,27,0.272,0.319,0.41,0.729,86,193,27,15,2,3,4,"data1",27,"us US","L","R","6' 3""",250,"Dec 30, 1976","7",131,117,131,118,0,118,0,0,0,0,0,0,0,0,0,14,0,0.3,"$3,500,000","","data2"
"aaron boone","CIN",2003,5,"3B",30,106,447,403,61,110,19,3,18,65,15,3,35,74,0.273,0.339,0.469,0.808,113,189,6,5,3,0,2,"data1",30,"us US","R","R","6' 2""",190,"Mar 9, 1973","7",106,103,106,106,0,0,0,19,83,5,0,0,0,0,0,2,0,2.7,"$3,700,000","All-Star","data2"
"aaron boone","CLE",2005,5,"3B",32,143,565,511,61,124,19,1,16,60,9,3,35,92,0.243,0.299,0.378,0.677,82,193,16,9,4,6,3,"data1",32,"us US","R","R","6' 2""",190,"Mar 9, 1973","8",143,140,143,142,0,0,0,0,142,0,0,0,0,0,1,0,1,1.5,"$3,000,000","","data2"
"aaron boone","CLE",2006,5,"3B",33,104,392,354,50,89,19,1,7,46,5,4,27,62,0.251,0.314,0.37,0.684,78,131,4,6,4,1,1,"data1",33,"us US","R","R","6' 2""",190,"Mar 9, 1973","9",104,98,104,101,0,0,0,1,101,0,0,0,0,0,1,4,0,-0.7,"$3,750,000","","data2"
"aaron boone","MIA",2007,9,"1B",34,69,228,189,27,54,11,0,5,28,2,0,21,41,0.286,0.388,0.423,0.811,113,80,0,13,1,4,4,"data1",34,"us US","R","R","6' 2""",190,"Mar 9, 1973","10",69,51,69,55,0,0,48,0,12,0,0,0,0,0,0,14,1,0.4,"$925,000","","data2"
"aaron boone","NYY",2003,11,"3B",30,54,209,189,31,48,13,0,6,31,8,0,11,30,0.254,0.302,0.418,0.72,90,79,7,3,3,2,0,"data1",30,"us US","R","R","6' 2""",190,"Mar 9, 1973","7",54,52,54,54,0,0,0,0,54,0,0,0,0,0,0,0,0,1.4,"","","data2"
"aaron cook","COL",2003,31,"P",24,42,37,29,3,5,0,0,0,3,0,0,2,10,0.172,0.226,0.172,0.398,0,5,1,0,6,0,0,"data1",24,"us US","R","R","6' 3""",215,"Feb 8, 1979","2",43,16,42,43,43,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$300,000","","data2"
"aaron cook","COL",2004,26,"P",25,15,37,34,1,4,0,0,0,1,0,0,1,10,0.118,0.143,0.118,0.261,-35,4,1,0,2,0,0,"data1",25,"us US","R","R","6' 3""",215,"Feb 8, 1979","3",16,16,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,2.1,"","","data2"
"aaron cook","COL",2005,32,"P",26,13,36,30,3,5,0,1,0,0,0,0,1,12,0.167,0.194,0.233,0.427,7,7,0,0,5,0,0,"data1",26,"us US","R","R","6' 3""",215,"Feb 8, 1979","4",13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.9,"$326,000","","data2"
"aaron cook","COL",2006,28,"P",27,31,75,58,1,3,0,0,0,0,0,0,4,21,0.052,0.113,0.052,0.165,-57,3,0,0,13,0,0,"data1",27,"us US","R","R","6' 3""",215,"Feb 8, 1979","5",32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.4,"$1,250,000","","data2"
"aaron cook","COL",2007,26,"P",28,23,60,42,8,10,3,0,0,1,0,0,4,14,0.238,0.319,0.31,0.629,60,13,1,1,13,0,0,"data1",28,"us US","R","R","6' 3""",215,"Feb 8, 1979","6",25,25,23,25,25,0,0,0,0,0,0,0,0,0,0,0,0,2.9,"$3,100,000","","data2"
"aaron fultz","CLE",2007,30,"P",33,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",33,"us US","L","L","6' 0""",196,"Sep 4, 1973","8",49,0,2,49,49,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$1,500,000","","data2"
"aaron fultz","MIN",2004,35,"P",30,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",30,"us US","L","L","6' 0""",196,"Sep 4, 1973","5",55,0,4,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$550,000","","data2"
"aaron fultz","PHI",2005,32,"P",31,58,3,3,1,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,73,1,0,0,0,0,0,"data1",31,"us US","L","L","6' 0""",196,"Sep 4, 1973","6",62,0,58,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$550,000","","data2"
"aaron fultz","PHI",2006,34,"P",32,62,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,"data1",32,"us US","L","L","6' 0""",196,"Sep 4, 1973","7",66,1,62,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$1,200,000","","data2"
"aaron fultz","TEX",2003,37,"P",29,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",29,"us US","L","L","6' 0""",196,"Sep 4, 1973","4",64,0,3,64,64,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$600,000","","data2"
"aaron guiel","KCR",2003,8,"RF",30,99,401,354,63,98,30,0,15,52,3,5,27,63,0.277,0.346,0.489,0.835,112,173,3,13,2,5,0,"data1",30,"ca CA","L","R","5' 10""",200,"Oct 5, 1972","2",99,86,99,89,0,0,0,0,0,0,1,1,87,89,2,10,0,1.8,"","","data2"
"aaron guiel","KCR",2004,15,"LF",31,42,157,135,15,21,4,0,5,13,1,1,17,42,0.156,0.263,0.296,0.559,45,40,3,3,1,1,0,"data1",31,"ca CA","L","R","5' 10""",200,"Oct 5, 1972","3",42,36,42,39,0,0,0,0,0,0,38,0,1,39,2,3,0,-0.5,"$320,000","","data2"
"aaron guiel","KCR",2005,13,"CF",32,33,121,109,18,32,5,0,4,7,1,0,6,21,0.294,0.355,0.45,0.805,114,49,3,5,0,1,1,"data1",32,"ca CA","L","R","5' 10""",200,"Oct 5, 1972","4",33,26,33,30,0,0,0,0,0,0,0,24,7,30,0,6,0,1.3,"","","data2"
"aaron guiel","KCR",2006,21,"OF",33,19,59,50,9,11,3,0,3,7,0,0,7,11,0.22,0.339,0.46,0.799,104,23,1,2,0,0,0,"data1",33,"ca CA","L","R","5' 10""",200,"Oct 5, 1972","5",19,14,19,14,0,0,0,0,0,0,3,2,9,14,3,3,2,0,"","","data2"
"aaron guiel","NYY",2006,16,"UT",33,44,92,82,16,21,3,0,4,11,2,1,7,20,0.256,0.337,0.439,0.776,99,36,2,3,0,0,0,"data1",33,"ca CA","L","R","5' 10""",200,"Oct 5, 1972","5",44,21,44,40,0,0,15,0,0,0,4,3,21,27,1,10,2,0.5,"","","data2"
"aaron harang","CIN",2003,33,"P",25,9,17,17,0,1,0,0,0,0,0,0,0,11,0.059,0.059,0.059,0.118,-68,1,0,0,0,0,0,"data1",25,"us US","R","R","6' 7""",260,"May 9, 1978","2",9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"","","data2"
"aaron harang","CIN",2004,24,"P",26,28,61,57,1,4,1,0,0,0,0,0,0,33,0.07,0.07,0.088,0.158,-59,5,1,0,4,0,0,"data1",26,"us US","R","R","6' 7""",260,"May 9, 1978","3",28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$360,000","","data2"
"aaron harang","CIN",2005,25,"P",27,30,78,74,1,2,0,0,0,3,0,0,0,39,0.027,0.027,0.027,0.054,-86,2,0,0,4,0,0,"data1",27,"us US","R","R","6' 7""",260,"May 9, 1978","4",32,32,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.7,"$440,000","","data2"
"aaron harang","CIN",2006,27,"P",28,34,81,74,1,8,0,0,0,2,0,0,1,35,0.108,0.132,0.108,0.24,-38,8,1,1,5,0,0,"data1",28,"us US","R","R","6' 7""",260,"May 9, 1978","5",36,35,34,36,36,0,0,0,0,0,0,0,0,0,0,0,0,5,"$2,350,000","","data2"
"aaron harang","CIN",2007,27,"P",29,33,88,74,0,7,1,0,0,2,0,0,1,28,0.095,0.117,0.108,0.225,-42,8,1,1,11,1,0,"data1",29,"us US","R","R","6' 7""",260,"May 9, 1978","6",35,34,33,34,34,0,0,0,0,0,0,0,0,0,0,1,0,5.5,"$4,250,000","","data2"
"aaron harang","OAK",2003,28,"P",25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,"data1",25,"us US","R","R","6' 7""",260,"May 9, 1978","2",7,6,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"","","data2"
"aaron heilman","NYM",2003,30,"P",24,14,23,22,1,1,0,0,0,1,0,0,1,13,0.045,0.087,0.045,0.132,-63,1,0,0,0,0,0,"data1",24,"us US","R","R","6' 5""",230,"Nov 12, 1978","1st",14,13,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,"","","data2"
"aaron heilman","NYM",2004,35,"P",25,5,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,3,0,0,"data1",25,"us US","R","R","6' 5""",230,"Nov 12, 1978","2",5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","data2"
"aaron heilman","NYM",2005,27,"P",26,49,17,14,0,0,0,0,0,0,0,0,1,7,0,0.067,0,0.067,-80,0,0,0,2,0,0,"data1",26,"us US","R","R","6' 5""",230,"Nov 12, 1978","3",53,7,49,53,53,0,0,0,0,0,0,0,0,0,0,0,0,2,"","","data2"
"aaron heilman","NYM",2006,43,"P",27,71,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",27,"us US","R","R","6' 5""",230,"Nov 12, 1978","4",74,0,71,74,74,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$359,000","","data2"
"aaron heilman","NYM",2007,44,"P",28,79,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",28,"us US","R","R","6' 5""",230,"Nov 12, 1978","5",81,0,79,81,81,0,0,0,0,0,0,0,0,0,0,0,0,1,"$453,000","","data2"
"aaron hill","TOR",2005,9,"DH",23,105,407,361,49,99,25,3,3,40,2,1,34,41,0.274,0.342,0.385,0.727,92,139,5,5,3,4,0,"data1",23,"us US","R","R","5' 11""",200,"Mar 21, 1982","1st",105,97,105,69,0,0,0,22,35,16,0,0,0,0,34,4,2,1.5,"","","data2"
"aaron hill","TOR",2006,3,"2B",24,155,606,546,70,159,28,3,6,50,5,2,42,66,0.291,0.349,0.386,0.735,91,211,15,9,4,5,5,"data1",24,"us US","R","R","5' 11""",200,"Mar 21, 1982","2",155,153,155,154,0,0,0,112,0,63,0,0,0,0,1,0,0,3.9,"$336,000","","data2"
"aaron hill","TOR",2007,3,"2B",25,160,657,608,87,177,47,2,17,78,4,3,41,102,0.291,0.333,0.459,0.792,107,279,21,0,3,5,1,"data1",25,"us US","R","R","5' 11""",200,"Mar 21, 1982","3",160,158,160,160,0,0,0,160,0,0,0,0,0,0,0,1,0,5.2,"$395,000","","data2"
"aaron holbert","CIN",2005,19,"IF",32,22,32,27,3,6,3,0,0,2,1,0,3,8,0.222,0.29,0.333,0.624,64,9,1,0,1,1,1,"data1",32,"us US","R","R","6' 0""",160,"Jan 9, 1973","2",22,4,22,8,0,0,2,4,2,0,0,0,0,0,0,14,1,-0.4,"","","data2"
"aaron laffey","CLE",2007,31,"P",22,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",22,"us US","L","L","5' 11""",190,"Apr 15, 1985","1st",9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"","","data2"
"aaron looper","SEA",2003,26,"P",26,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",26,"us US","R","R","6' 2""",180,"Sep 7, 1976","1st",6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","data2"
"aaron miles","CHW",2003,19,"DH",26,8,12,12,3,4,3,0,0,2,0,0,0,0,0.333,0.333,0.583,0.917,134,7,0,0,0,0,0,"data1",26,"us US","B","R","5' 8""",180,"Dec 15, 1976","1st",8,1,8,3,0,0,0,3,0,0,0,0,0,0,2,4,1,0.1,"","","data2"
"aaron miles","COL",2004,3,"2B",27,134,566,522,75,153,15,3,6,47,12,7,29,53,0.293,0.329,0.368,0.697,72,192,12,2,7,6,0,"data1",27,"us US","B","R","5' 8""",180,"Dec 15, 1976","2",134,116,134,128,0,0,0,128,0,0,0,0,0,0,0,12,1,1.2,"$300,000","","data2"
"aaron miles","COL",2005,3,"2B",28,99,347,324,37,91,12,3,2,28,4,2,8,38,0.281,0.306,0.355,0.661,65,115,6,4,10,1,1,"data1",28,"us US","B","R","5' 8""",180,"Dec 15, 1976","3",99,69,99,80,0,0,0,79,0,1,0,0,0,0,0,24,1,-0.9,"$326,000","","data2"
"aaron miles","STL",2006,3,"2B",29,135,471,426,48,112,20,5,2,30,2,1,38,42,0.263,0.324,0.347,0.672,74,148,8,2,2,3,9,"data1",29,"us US","B","R","5' 8""",180,"Dec 15, 1976","4",135,104,135,125,0,0,0,88,1,39,0,0,0,0,0,19,0,-0.2,"$350,000","","data2"
"aaron miles","STL",2007,9,"MI",30,133,449,414,55,120,16,1,2,32,2,1,25,40,0.29,0.328,0.348,0.676,76,144,11,1,4,5,1,"data1",30,"us US","B","R","5' 8""",180,"Dec 15, 1976","5",133,98,133,125,2,0,0,85,3,40,1,0,0,1,0,19,0,-0.2,"$1,000,000","","data2"
"aaron myette","CIN",2004,36,"P",26,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",26,"ca CA","R","R","6' 4""",195,"Sep 26, 1977","6",5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"","","data2"
"aaron myette","CLE",2003,42,"P",25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",25,"ca CA","R","R","6' 4""",195,"Sep 26, 1977","5",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$307,500","","data2"
"aaron rakers","BAL",2004,39,"P",27,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",27,"us US","R","R","6' 3""",205,"Jan 22, 1977","1st",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"","","data2"
"aaron rakers","BAL",2005,39,"P",28,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",28,"us US","R","R","6' 3""",205,"Jan 22, 1977","2",10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"","","data2"
"aaron rakers","SDP",2007,48,"P",30,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",30,"us US","R","R","6' 3""",205,"Jan 22, 1977","3",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","data2"
"aaron rowand","CHW",2003,14,"CF",25,93,170,157,22,45,8,0,6,24,0,0,7,21,0.287,0.327,0.452,0.78,102,71,1,3,2,1,0,"data1",25,"us US","R","R","6' 0""",210,"Aug 29, 1977","3",93,39,93,87,0,0,0,0,0,0,24,65,12,87,1,5,4,0.8,"$320,000","","data2"
"aaron rowand","CHW",2004,7,"CF",26,140,534,487,94,151,38,2,24,69,17,5,30,91,0.31,0.361,0.544,0.905,130,265,5,10,5,2,1,"data1",26,"us US","R","R","6' 0""",210,"Aug 29, 1977","4",140,122,140,137,0,0,0,0,0,0,0,126,12,137,0,10,3,5.7,"$340,000","","data2"
"aaron rowand","CHW",2005,7,"CF",27,157,640,578,77,156,30,5,13,69,16,5,32,116,0.27,0.329,0.407,0.736,93,235,17,21,5,4,3,"data1",27,"us US","R","R","6' 0""",210,"Aug 29, 1977","5",157,151,157,157,0,0,0,0,0,0,0,157,0,157,0,4,0,3.7,"$2,000,000","","data2"
"aaron rowand","PHI",2006,7,"CF",28,109,445,405,59,106,24,3,12,47,10,4,18,76,0.262,0.321,0.425,0.745,86,172,13,18,2,2,2,"data1",28,"us US","R","R","6' 0""",210,"Aug 29, 1977","6",109,102,109,107,0,0,0,0,0,0,0,107,0,107,0,3,0,0.5,"$3,250,000","","data2"
"aaron rowand","PHI",2007,7,"CF",29,161,684,612,105,189,45,0,27,89,6,3,47,119,0.309,0.374,0.515,0.889,124,315,18,19,2,4,3,"data1",29,"us US","R","R","6' 0""",210,"Aug 29, 1977","7",161,155,161,161,0,0,0,0,0,0,0,161,0,161,0,2,0,5.1,"$4,350,000","All-Star","data2"
"aaron sele","LAA",2003,28,"P",33,1,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,79,1,1,0,0,0,0,"data1",33,"us US","R","R","6' 5""",205,"Jun 25, 1970","11",25,25,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$8,166,667","","data2"
"aaron sele","LAA",2004,28,"P",34,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,"data1",34,"us US","R","R","6' 5""",205,"Jun 25, 1970","12",28,24,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$8,666,667","","data2"
"aaron sele","LAD",2006,31,"P",36,26,33,26,2,5,1,0,0,0,0,0,1,7,0.192,0.222,0.231,0.453,16,6,1,0,6,0,0,"data1",36,"us US","R","R","6' 5""",205,"Jun 25, 1970","14",28,15,26,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,"","","data2"
"aaron sele","NYM",2007,34,"P",37,31,6,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-41,0,0,0,1,0,0,"data1",37,"us US","R","R","6' 5""",205,"Jun 25, 1970","15",34,0,31,34,34,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$1,000,000","","data2"
"aaron sele","SEA",2005,30,"P",35,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0,"data1",35,"us US","R","R","6' 5""",205,"Jun 25, 1970","13",21,21,2,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$700,000","","data2"
"aaron small","MIA",2004,35,"P",32,7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,"data1",32,"us US","R","R","6' 5""",200,"Nov 23, 1971","7",7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"","","data2"
"aaron small","NYY",2005,47,"P",33,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",33,"us US","R","R","6' 5""",200,"Nov 23, 1971","8",15,9,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,2.7,"","","data2"
"aaron small","NYY",2006,30,"P",34,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0,"data1",34,"us US","R","R","6' 5""",200,"Nov 23, 1971","9",11,3,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$1,200,000","","data2"
"aaron taylor","SEA",2003,34,"P",25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",25,"us US","R","R","6' 7""",230,"Aug 20, 1977","2",10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"","","data2"
"aaron taylor","SEA",2004,39,"P",26,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",26,"us US","R","R","6' 7""",230,"Aug 20, 1977","3",5,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$302,500","","data2"
"abe alvarez","BOS",2004,42,"P",21,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",21,"us US","L","L","6' 2""",190,"Oct 17, 1982","1st",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"","","data2"
"abe alvarez","BOS",2005,40,"P",22,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",22,"us US","L","L","6' 2""",190,"Oct 17, 1982","2",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"","","data2"
"abe alvarez","BOS",2006,33,"P",23,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,"data1",23,"us US","L","L","6' 2""",190,"Oct 17, 1982","3",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"","","data2"
"abraham nunez","KCR",2004,8,"RF",27,59,247,221,31,50,9,0,5,29,0,1,25,48,0.226,0.304,0.335,0.638,66,74,4,0,0,1,1,"data1",27,"do DO","B","R","6' 3""",210,"Feb 5, 1977","2",59,58,59,57,0,0,0,0,0,0,0,4,54,57,2,1,0,-0.5,"","","data2"
"abraham nunez","MIA",2004,15,"OF",27,58,75,64,9,11,1,1,1,5,1,2,9,21,0.172,0.274,0.266,0.54,44,17,3,0,2,0,0,"data1",27,"do DO","B","R","6' 3""",210,"Feb 5, 1977","2",58,12,58,48,0,0,0,0,0,0,28,0,20,48,0,9,11,-0.6,"$300,000","","data2"
"abraham nunez","PHI",2006,10,"3B",30,123,369,322,42,68,10,2,2,32,1,0,41,58,0.211,0.303,0.273,0.577,47,88,7,2,3,1,8,"data1",30,"do DO","B","R","5' 11""",200,"Mar 16, 1976","10",123,76,123,81,0,0,0,6,74,3,0,0,0,0,0,41,2,-1.7,"$1,125,000","","data2"
"abraham nunez","PHI",2007,5,"3B",31,136,287,252,24,59,10,1,0,16,2,0,30,48,0.234,0.318,0.282,0.6,55,71,10,1,4,0,5,"data1",31,"do DO","B","R","5' 11""",200,"Mar 16, 1976","11",136,54,136,124,0,0,0,4,113,8,0,0,0,0,0,26,5,-0.8,"$1,925,000","","data2"
"abraham nunez","PIT",2003,11,"MI",27,118,351,311,37,77,8,7,4,35,9,3,26,53,0.248,0.31,0.357,0.667,72,111,8,3,9,2,1,"data1",27,"do DO","B","R","5' 11""",200,"Mar 16, 1976","7",118,74,118,89,0,0,0,71,1,23,0,0,0,0,0,32,2,0,"$675,000","","data2"
"abraham nunez","PIT",2004,11,"2B",28,112,195,182,17,43,9,0,2,13,1,3,10,36,0.236,0.275,0.319,0.593,54,58,8,0,2,1,0,"data1",28,"do DO","B","R","5' 11""",200,"Mar 16, 1976","8",112,29,112,49,1,0,0,32,6,13,0,0,0,0,1,68,1,-0.6,"$625,000","","data2"
